"key","en","de"
"answers.empty","No answers saved yet. They will appear here after you save one.","Noch nichts gespeichert. Gespeicherte Einträge erscheinen hier."
"answers.empty_date","No answers saved for this date yet. They will appear here after you save one.","Für dieses Datum ist noch nichts gespeichert. Gespeicherte Einträge erscheinen hier."
"answers.fluids","Fluid {fluid} · buffer {buffer}","Flüssigkeit {fluid} · Puffer {buffer}"
"answers.main","{product}, lot {lot} – {instrument}","{product}, Charge {lot} – {instrument}"
"answers.saved_at","saved at {time}","gespeichert um {time}"
"answers.title","Answers so far","Bisherige Einträge"
"answers.title_date","Your answers for this date","Ihre Einträge für dieses Datum"
"app.title","Lab Documentation Prototype","Labordokumentation (Prototyp)"
"change.by","{user} on {when}","{user} am {when}"
"common.and"," and "," und "
"common.back","Back","Zurück"
"common.cancel","Cancel","Abbrechen"
"common.choose_instrument","Choose an instrument...","Gerät wählen ..."
"common.choose_lot","Choose a lot...","Charge wählen ..."
"common.confirm","Confirm","Bestätigen"
"common.error_lot","Please choose the lot.","Bitte wählen Sie die Charge."
"common.instrument","Instrument","Gerät"
"common.lot","Lot","Charge"
"common.next","Next","Weiter"
"common.no","No","Nein"
"common.note_text","Note: {note}","Notiz: {note}"
"common.notes","Notes (optional)","Notizen (optional)"
"common.too_long","Please use at most {max} characters.","Bitte höchstens {max} Zeichen verwenden."
"common.yes","Yes","Ja"
"common.yes_change_back","Yes, change back","Ja, zurücksetzen"
"control.error_rerun","Please say if the rerun was valid.","Bitte geben Sie an, ob die Wiederholung gültig war."
"control.error_valid","Please say if the control was valid.","Bitte geben Sie an, ob die Kontrolle gültig war."
"control.negative","Negative control","Negativkontrolle"
"control.notes","Notes about this control (optional)","Notizen zu dieser Kontrolle (optional)"
"control.positive","Positive control","Positivkontrolle"
"control.rerun_valid","Was the rerun valid?","War die Wiederholung gültig?"
"control.result","Lot {lot}: {result}","Charge {lot}: {result}"
"control.result_note"," (note: {note})"," (Notiz: {note})"
"control.result_rerun_not_valid","not valid, rerun not valid","nicht gültig, Wiederholung nicht gültig"
"control.result_rerun_valid","not valid, rerun valid","nicht gültig, Wiederholung gültig"
"control.result_valid","valid","gültig"
"control.valid","Was the control valid?","War die Kontrolle gültig?"
"daily.already_saved_notification","A daily check for {instrument} was already saved on this date.","Für {instrument} wurde an diesem Datum bereits eine Tageskontrolle gespeichert."
"daily.already_text","A second check can't be saved. If its versions are wrong, you can still correct them below; the check saved earlier stays as it is.","Eine zweite Kontrolle kann nicht gespeichert werden. Wenn die Versionen falsch sind, können Sie sie unten trotzdem korrigieren; die bereits gespeicherte Kontrolle bleibt unverändert."
"daily.already_title","{instrument} already had its daily check on this date.","Für {instrument} wurde an diesem Datum bereits die Tageskontrolle durchgeführt."
"daily.another","Check another instrument","Weiteres Gerät prüfen"
"daily.confirm_new_versions","Confirm with new versions","Mit neuen Versionen bestätigen"
"daily.continue","Continue to an experiment","Weiter zu einem Experiment"
"daily.error_already","A daily check for {instrument} was already saved on this date. You can still correct its versions.","Für {instrument} wurde an diesem Datum bereits eine Tageskontrolle gespeichert. Die Versionen können Sie trotzdem korrigieren."
"daily.error_instrument","Please choose an instrument.","Bitte wählen Sie ein Gerät."
